"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking for Hourly and Fullday Tabs","624","testHomeScreenTabs","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testHomeScreenTabs"
"Validating coupon list","96","testIsCouponListPresent","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testIsCouponListPresent"
"Validating Refer and Earn Banner","155","testRnF_WideBanner","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testRnF_WideBanner"
"","152","testFirst5Cities","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testFirst5Cities"
"","2455","testBenefitsOfBrevistay","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testBenefitsOfBrevistay"
"","2126","testBrevistayBlogs","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testBrevistayBlogs"
"Checking for Search Bar","348","testSearchBar","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testSearchBar"
"Checking for Main Banner on Home Screen","1991","testMainBanner","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testMainBanner"
"","287","testBrevistayBlogs","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testBrevistayBlogs"
"Validating footor","2275","testFooter","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testFooter"
"","523","testBenefitsOfBrevistay","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testBenefitsOfBrevistay"
"","146","testLastSetCities","Brevistay App HomePage TestAutomation","2026-04-22","passed","2026-04-22","com.qa.brevistay.tests.homeScreenTest","HomePage","com.qa.brevistay.tests.homeScreenTest","testLastSetCities"
